tweet_id,tweet,sarcastic,rephrase,dialect
3344,يعني واحد هربان بره البلد ومافيش حاجة تمنعه يرجع البلد و بيعلن نيته للترشح و هو بره البلد و مش عايزين الناس تتريق عليه ؟ و الله ده يبقي عيب علينا حتي !!!  ,1,,msa
3814,RT @USER اذا كان معاوية خال المؤمنين، فلابد وان تكون هيلاري كلنتون خالتهم، وجولدا مائير عمتهم، وتسيبي ليفني مرضعتهم :sweat_droplets: HTTPURL,1,,msa
2443,"""كلاب ونبحها واحد لا تثدقوهم #واشنطن""",1,,msa
3166,+ ثورة توحدنا #انتخبوا_العرص #ريتويت,1,,egypt
2100,شوفى مقموصه ازاى فاكره نفسها حاجه قال,0,,nile
523,كلام أم الشهيد محمد مصطفى بيجيب من الآخر: مرسي كذب في وعوده,0,,nile
93,انا خايف أن بسبب الحظر أضطر اتفرج علي مسلسل نبيلة عبيد,1,أنا خايف بسبب الملل فى الحظر أعمل حاجات مش بحبها,msa
5157,"""اخرجو الأجانب من #اوبر #كريم لكل سعودي شريف الرجاء التفاعل مع هالحساب @USER #الدمام#الرياض#الخبر#جدة#اتحاد_اوبر_كريم""",0,,msa
4518,"واضح إن ثـقـافــة الـشـغـل مش فـ الدمـاغ نهائي , مش شايف ولا جورنالجي ولا مذيع أو إعلامي , عامل برنامج ينصح الناس بـ أن حـل جميع مشاكلهم هـو الـشـغـل , أي شغل, المهم إن فيفي عبده نازلة تهـزئ ف تـامـر أمين, و واضح إن تامر أمين مش شايف غير الرقاصات, هو تامر أمين بيشتغل إيه؟  ",1,,msa
74,"""@USER جمعتنا طرشتهم تقيلة وحطين بيضنهم فى التلج ما بيتحركوش الا لما النصايب تهل واهى بدأت تندع فى الاعلام الغربى على موضوع السرنجة .""",1,,levant
3441,"""بوكيمون المرتزق ..أحسن من المرتزقة اليمنيين HTTPURL",1,,egypt
4457,"""@USER إيران و روسيا  وش تسوي في سوريا  تزرع  ورد و توزع هدايا  هناك  لا بارك الله فيهم""",1,,levant
3754,يا عينى على الحلو لما تبهدله الايام,1,ايه اللى بهدلك كده,nile
2883,زن زن ومش هسمعك رن رن مش هرجعلك,0,,nile
3966,أي خروف يشوف أعداد النهاردة لازم يتواضع ويهز ليِّته خاصةً ان العيد على الأبواب,1,,egypt
5089,كيف أملّك ؟ واتركك .. واسج منّك وانت نبضٍ في الفؤاد وقطعةٍ من كبدي     :blue_heart::dove:,0,,msa
4969,انتم ملائكة مافي عندكم فساد ولا تروحو تفسدون بلاد الاخرين. روح شوف كم سعودي في لبنان و مصر و تركيا يفسدون وبعدين تعال تكلم ع الحضرمي حسبي الله عليك و ع امثالك فاكرين انفسكم شعب الله المختار  ,1,,msa
384, يمكن أن تفيد الزيوت العطرية في تحسين المزاج وتهدئة الأعصاب والتخفيف من الاكتئاب، مثل الياسمين والورد والبابونج.  ريال مدريد ,0,,msa
3573,أيها المتحدثون عن شرع الله هل يوجد في شرع الله تهمة اسمها العيب في الذات الملكية هل من شرع الله التعاون العسكري مع امريكا لتحتل العراق,1,,msa
2, هافانا بعد رحيل  فيديل كاسترو ليست كما قبله،، :victory_hand:- مليون شخص يشاركون في وداع رماد فيديل كاسترو،، وداعاً  كاسترو.. ,0,,msa
726,فائق حسن يتغزل في أصالة هنبتدى بقى وصلة الموحن اللى على السوشيال ميديا,0,,nile
2262,شكلك فاهم يا نصه,1,غبي جدا وبيحاول يخطط مثلا,nile
3726,فيه ديوث او سالب يجي يتابعني وانا اجيه خاص.مافيه احد,1,,egypt
1645,والعيل يكبر ويؤدي الصلاة في أوقاتها.. لكن عنده قناعة ان نشر الدين لا يتم الا باستخدام العنف  ,1,,msa
3424,"""انت وين تگدر للعراق اردوغان! ابو السكايبي ياهو الجاي ويريد يحتل العراق شكوو شعدنه:smirking_face: HTTPURL",1,,levant
3699,"""في اتصال هاتفي #ترامب يدعو العبادي لزيارة #واشنطنروجدار حمدسمو  : يلا حبيبي يلا ...؟""",1,,egypt
4301,RT @USER #ميسي قليل أدب المدربين يحطون خطين دفاع وهو يضربهم بتمريره وحده ،، HTTPURL,1,,egypt
1698,اه منا لو كنت بنت كنت رديت عليا,1,أنت بترد علي البنات بس,nile
94,اللي على قلبه مراوح ما بشوف هيك ولا هيك,1,البارد مش بيهمه شئ,nile
1050,واحشني قوي و انا مقصر معاك عندك حق :) كلم شادي و الشباب و خلينا نتقابل يوم الجمعة و العشاء عليا,0,,nile
868,الجهﻻء من الشعب المصري فضحونا فى كل مناطق العالم بالهاش تاج المسي و نعمه التحضر ..   #سأنتخب_السيسى_و_مش_هنزل_لمستواك,1,,msa
3905,حتى الدور المشرف الذي لعبه الإخوان في حماية الميدان في موقعة الجمل لطخوه عندما قرروا أن يصنعوا موقعة جمل في كل حتة في مصر من أجل مرسي الكذاب,1,,egypt
4607,حاميها حراميها ,1,,egypt
2551,"""@USER @USER @USER صار #حزب_الله مثل #فيلق_القدسيتحدث عن فلسطين وهو يقتل العرب ويدمر حلب""",0,,levant
2776,الراجل الخايب خلفته كتير والبطيخة القرعة لبها كتير,1,الرجل الخايب يقوم بالخلف كثير مثل البطيخه الغير ناضجة,nile
1695,واضح إن أمي دعت عليا وأنا صغير وقالتلي روح ربنا يفرّج عليك خلقو، قام ربنا طلعني مذيع #,1,,egypt
2497,تطبيق الشريعة,0,,msa
697,زبيدة ثروت #مزز_ما_قبل_البلاستيك,1,,egypt
1495,بالتزكية.. اتحاد الكرة يعتمد خماسى رابطة الأندية,0,,nile
2309,"""هههههههههههههخدوها من الي نصب عليكوووو#مصر_شعب_حضارة_مش_سيسي  :confused_face: HTTPURL",1,,egypt
2863,فاشل في عمله، وفاشل في علاقاته الإنسانية .. ويقدم دورات تدريبية في تطوير الذات والتفكيرالناقد !   #بياعين_الحكي,1,,egypt
2696, الله الله :smiling_face_with_heart-eyes:  حزب الاعاده ,0,,nile
4811,"""عمليات الأنبار تحرر جزيرة هيت بالكامل من مجرمي داعش  إذاعة #البيان  HTTPURL :""",0,,msa
886,64 اذا مبارك كان عنده حق لما البلطجية قتلوا الناس في الميدان لانه كان بيتشتم بامه برضه,1,,egypt
4052,ايوة بفرح لما تجيلي هو مين اصلا يشبهك,0,,nile
367,"""الامارات داخله باسمين EgyptAir ازيكم ؟! HTTPURL",1,,egypt
3871,"""لا انا مسمعتش جوجل دي انت بتخم يا ابو صلاح #احمد_يونس_في_صاحبه_السعاده""",1,,egypt
2755, نشط الأن في  لبنان  روحاني  لافروف ,0,,msa
3107,صباح الخير عليكي يا مصر يا حلوة و لابسة جديد إن شاء الله هيكون أحسن يوم في اللي فات و كل اللي جاي أحلى,0,,nile
4677,"""موعد مباره ريال مدريد بكره فاشل بمعنى الكلمه""",1,,egypt
2394,حتى لو مافيه دوام يبقى السبت غثيث,1,,msa
342,لأ و بيعيطوا على المجمع العلمى ... ولاهى انتوا ناس زى الفل احنا اسفين يا عسكر فداكوا 74 واحد يموت هما كانوا ورق مثلا ده انسان بس,1,,msa
540, ولاد البلد  المنصورة  مصراوي أهالي  المطرية يتضررون من غرق  شارع  مدرسة النصر ورعاية الأمومة بمياه  الصرف الصحي,0,,msa
2172,المذيع المحترم بتاع مصر ٢٥ بيقول فيه مظاهرات في شبرا بتهتف  بالطول بالعرض حنجيب الاسلام الارض  ثم يتسائل ما دخل الدين في صراع سياسي,0,,nile
1867,ما أعتب على المرشح اللي في كل كلمة وندوة يعزف ألحان الطائفية ويدندن على المظلوميةوما يتطرق لهموم الكويتيينفهذه بضاعته الفاسدة وماعنده غيرهاولكن عتبي على الناخبين اللي يشترون بضاعته ويبيعون الكويت,1,,msa
262,ثأر #سيد_بلال وغيره سيلاحققك أيها الأفاق #برهامى #شيوخ_السلاطين #تجار_دين,1,,msa
1361,#شوقي : ولد الهدى فالكائنات ضياء وفم الزمان تبسم وثناء/ اللهم صلي وسلم على سيدنا محمد وعلى اله وصحبه وسلم #بكفي_حصار #اضبطوا_شركاء_المخلوع,0,,egypt
1291,"""نوال الزغبي شو بتعملي ؟؟""",0,,levant
3715,#بكرا_زي_هالوقت ياكثر اللي تبي تشوفه بسروال وفنيله متكي عند الباب بكاس شاهي ويطقطق على مبزرة الحارة اللي رايحين للمدرسه #سحقاً   ツ,1,,msa
556,آه الناس حواليك بتحب مرسي وماله؟ بس مرسي ماهواش أغلى عند الناس دي من رزق عيالها ومن مستقبلها ولو حست إنه فاشل مش عارف يحل هتقلب عليه وعليك,0,,nile
471,كلية استغفر الله العظيم المعيدين عايزين يعملوا فيها دكاترة وبيشتغلوا علي مزاجهم #فنون_تطبيقية #دمياط,1,,egypt
4481,الخوازيق فى حياتى زى المناديل اسحب واحد يطلع التانى,1,كل شويه منغصات لحياتى مش بعرف اخد نفسى,nile
1951,"""انا لحد دلوقتي شايفة اسعار الوان الجواش من ٦٠ ل ١٢٠ والعيال بتلطم عندي في النيوز فيد الله يخربيتك يا سيسي الكلب""",1,,egypt
4331,بتضحكني فكرة إن إخواني أو سلفي يقولك أنتم أتفه من أن نهتم بكم مع إنه بايت تقريبا طول اليوم على تويتر يبعت منشنات شتيمة وتكفيرمن التافه إذن؟,1,,msa
2448,  حياتنا عباره عن قال شيخ الإسلام ابن تيمية رحمه الله تعالى   القلوب الصادقة والأدعية الصالحة هي العسكر الذي لا يغلب . ستبقى حلب ,0,,msa
1577,بلاش يا جماعة ابوس ايديكم تكتبو عن الزلزال اللي في أمريكا علي تويتر ويبقي تريند... ح تضربوا السياحة في أمريكا كده #Earthquake   #a7a,1,,msa
4806,"""بعد أن سلموا #حلب ل #روسيا و #ايران وبعد أن هجروا أهلها #مجلس_اللا أمن يصوت بالاجماع على ارسال مراقبين للتأكد من عملية التهجير .#حلب_تباد""",1,,msa
1064,"""بص يا سيسى انت تعتبرنا ارض من اللي عمال تفرقها دى وتدينى لفرنسا او امريگا ياعم انا راضيه :face_with_tears_of_joy::face_with_tears_of_joy:وهديگ الفگه اللي معايا :face_with_tears_of_joy::grinning_face_with_smiling_eyes:""",1,,egypt
2955,_70007 الحمارة امك #فطيم_النعاشة وانت ولدها و اذا فكرت تصير ولد حلال اطلب من #فيفي_عبده_الام_المثالية تتبناك هههههههه :grinning_squinting_face::face_with_tears_of_joy:,1,,gulf
937,أسلــوب السخريــــه رخيــــص لا يستخدمـــه إلا من فقــــد قيمــــة ذاتــــــــــه  ,1,,msa
2222,كل الصرف ده وفي الاخر بقي ايه,1,يعني الراجل مكلف نفسه وجايب حاجات كتير وبردوا معفن منضفش,nile
1125,ازاى ملكش دعوة بلبس البنت البنت اللى بتلبس لبس ديق هى اللى بتتحرش بالراجل,1,,egypt
401,"ههههههههههههههههه الميديا بتنشـر الـغـسـيــل الـوســـخ لـ الـسـيـد الـبـدوي ..!!! طــب إسـتـنـــوا لـمـا يشتري بـدلـة جديدة طب لما يـكُـح ,, هو ف الحقيقة غسيلـه الوسخ كتير ,, ويرجعوا يقولوا لك نظام السيسي كـمـعـي ,, جاك كمع يدخل من نافوخـك يطلع من نافوخك التاني  ",1,,msa
15,جعل الغياب اللي خذاك يموت ويحيا بداخلك وصل غاليك  يوسف  بوح,0,,gulf
1269,"شوفوا مين من المسئولين المعرصين إللي بياخدوا رشاوي من السوريين في مصر ومقوي قلبهم أوي كـده. أيوة فيه مسئولين معرصين يبيعوا نسوانهم بالفلوس مش بلدهم بس, وشوفوا مين بيسهل لهم عمليات التمليك للمحلات والشقق والجنسية ,, ياحكومة فاشلة لازم وقفة وطنية #أحــا سكتناله دخل بحماره,  ",1,,msa
3026,فى ناس زى النسكافيه ثلاثة فى واحد يتكلموا معاك وعنك وعليك,1,فى ناس تقعد تتكلم معاك وبعدين تروح تتكلم عليك من وراك,nile
3047,1540 _ عقاب المخرب هو القتل عند الحقراء عديمي الإنسانية فقط كفاية هذا المنطق الدنيء بتاع الحيوانات عقاب المخرب ليس جريمة قتل,1,,egypt
3211,هذا ما يحدث عندما لا تقول الحق وتمسك بالعصاية من النص وترفض إدانة عنف السلطةهذا هو الأمن على الطريقة الإخوانية,1,,egypt
2462,الناس خايفة من كورونا والاذكيا مش عايزين ياخدوا اللقاح,1,الناس اغبيا عشان لو خدوا اللقاح مش هيجيلهم كورونا,nile
2343,"""@USER @USER @USER @USER تلاقي القردوغان او رئيس فرنسا او اي حمار قايم بنيكها مكان الخول حمد""",1,,levant
2242,اخلاء سبيل قتلة الأربع بنات بتوع المنصورة، عجبا ! يفرج عن متهم في جريمة قتل بكفالة، ويعتقل غيره بدون جريرة,1,,msa
1199,"""RT @USER ميسي يضيع بلنتي وينكبهم ويطير اللقب وماسكيرانو ينكبهم في مبارتين ثم البرشلوني يحطها في راس الضعيف هقواين:broken_heart:""",1,,gulf
3862,"""يعنى الكنائس ف القدس افضل من قناة القاهرة و الناس ف مصر :winking_face::winking_face::winking_face:#الكنايس_ترفع_الاذان #القدس #الاقصى_الاسير""",1,,egypt
4566,اصبر على جار السوء يا يرحل يا تجيله داهية تأخذه.,1,اصبر على اذية الجار حتى رحيله او غير ذلك,nile
2009,ترقصين بعرس واطالعين فوق وتحركين حلجج يعني حافظه الاغنيه:)؟ #لازم طلقه بالراس:),1,,gulf
4722,برضوا مصممين تكدبوا !! ما كفايه بجاحه بقى اتحاد عرة,0,,nile
2412,قصدى إنها بتجوز و تخلع و تجوز و نخلع و تجوز و تطلق و ساعات بتجمع بين إتنين شرشر بقى تقول إيه فبتبتدى السكة بدرى شوية  ,1,,egypt
370,"""#موسكو: استئناف #المفاوضات السورية في #كازاخستان ""أمر واقعي""HTTPURL HTTPURL",0,,msa
31,"""لعنة الله عليك وعلى طاغية مصر وعلى الحكومة وعلى من يؤيدكم من إعلام قذر ومطبلين وبلطجية وسفلة البشر. HTTPURL",1,,msa
2166,الجيش والشرطة والحكومة والبلطجية والاعلام يلاحقون الشعب لايقافه لو انتم رجالة بصحيح اوقفوا ارتفاع الاسعار الاسعار تقفز بجنون,1,,msa
4406,ياااه ياجدع ده احنا شوفنا العجب في رابعه اللي لابس لبس الاحرام علي تي شيرت وبنطول واللي متكفن ولابس جزمه واللي مات وصحي يتكلم ف الفون  ,1,,egypt
4706,#اللى_رافضين_السيسى_رئيس_بيعملوا_فولوا_لبعض #انتخبوا_العرص #مرسي_رئيسي #سيناء_خارج_التغطية #سأنتخب_السيسي,1,,egypt
4290,كمال ابو رية اجمل الشخصيات المحترمه ف الوسط الفني هو زوجته ناس محترمه وبيحترمو عقلية المشاهد,0,,nile
3894,"""#اليمنية| تعيين #عبدالواحد_الدعام عضواً في مجلس الشورىHTTPURL",0,,msa
588,ثمان غارات بالطائرات ل  النظام على مدينة  دومة وخمسة عشر على  المليحة في  الغوطة الشرقية نسأل الله أن يرد كيدهم في نحرهم وأن…,0,,msa
2617, الواتساب معلق,0,,nile
2792,"""كيري من استلم الخارجيه لامريكا وهو قالب راس العبد الغبي اوباما ، وصار تعجيل اجتماع 5+1وكان كيري نشط مستعجل لفك الحصار عن طهران والتقرب اليها""",1,,gulf
2140,حوار الأخوان شاركوا من اوي 25 ولا 28 مش مهم، و حتى حوار بطلوا مشاركة امتى مش مهم، المهم عملوا ايه في البرلمان و الرئاسة و التأ,1,,egypt
2485,٩٠٪ من وقتي يكون مع ناس اكرههم مثل ربع الدوام و١٠٪ مع وقتي مع الناس الي احبهم,1,,msa
1901,تبدلني أنا 90 كيلو شحم ولحم بزوج كيلو بطاطا,1,تبدلني أنا بكل وزني بهذه النحيلة,magreb
5107,حال العرب مع الغرب اليوم كمن يستهجن ما تعلمه في طفولته و يردد : (يا ضيفنا لو زرتنا لوجدتنا نحن الضيوف و أنت رب المنزل)   #حقيقة #للأسف,0,,msa
2745,"""@ قطرائيل والقرداوى مفتى الناتو وأخوان ابليس عملوا لحركه سماح شرعيه فى مصر (ولاد حرام صحيح)""",1,,egypt
3886,يوم ما #السيسى هيكسب الانتخابات هعملها بروفايل واقوله #ارحل,1,,egypt
4356, اللهم زد أحبتي  عفواً وعافية وتوفيقاًً وسداداً وصلاحاً  وأحفظهم من كل سوء  صباح الخير,0,,msa
1518,7_ أكبر معوقة وخازوق أخذناه كان من الإخوان أنا شايف كده واليوم يجب أن نكمل المشوار دونهم,1,,egypt
546,صاحب قناة الفراعين للمصري اليوم:  أنا ملك التوك شو  خبر صحيح و وصف دقيق طيب الله أوقاتكم,0,,msa
3883,"""الى الامم المتحدةوالى العالم نعلم كذبكم ومع هذا لدينا مايحل القضية السورية خلال24ساعة فقطاسالوا النازحين السوريين وهم بالملايين ماذايريدون""",1,,msa
1396, حظوظ المرشح الرئاسي الامريكي عن الحزب الجمهوري دونالد ترامب تتقدم على مرشحة الحزب الديموقراطي هيلاري كلنتون بعد مناظرة البارحة ، والآتي اعظم ,0,,msa
1380,منهج الانقلاب قتل وقمع وسجن اى معارض اعلام فاسد وقضاء مسيس ارتفاع للاسعار واقتصاد ينهار عزلة دولية وشحاتة خليجية,1,,msa
3732,طول العشرة تعرف الذهب من القشرة.,1,اذا اردت معرفة شخص ما عاشروا لمدة طويلة,magreb
4846,"""@USER @USER #عمرو_اديب يقولك سياسيين..!! فعلا و الدليل انهم بقالهم ٣سنين بدون ريس و مافيش ولا كهربا ولا مية و زبالة مليانة""",1,,egypt
4946,"""لماذا  #حماس تقمع احتفال  #غزة بذكرى أكتوبر ياذكية !! #مصر HTTPURL @USER @USER @USER @USER",1,,egypt
1573, ي لبييه.  ماذا لو المدارس مختلطه ,0,,msa
4273,لاعب مثل نيمار لن يُقدر برشلونه ولا يحترم جمهوره وترك النادي في احلك الظروف من أجل حفنه من الدولارات وبعد انتقاله لباريس يشووح لنادي برشلونه بالعوده ندما .ولا يكُن اي احترام لناديه الحالي ،ومازلتم تتحدثون وكأن الامر ان برشلونه هي من ركلته خارج النادي وان نيمار هو الضحيه  ,1,,msa
1414,الجواز زى الحمام الى جوه هيموت ويخرج والى بره هيموت ويدخل,1,الجواز صعب لكن الكل عاوز يجرب والكل يصدم من المسؤليه,nile
2072,"""هما لغوا خاصية switch account في تحديثات فيسبوك ماسينجر الجديدة عند كل الناس؟ ولا ده غباء من الأبليكيشن اللي معايا بس ولا ايه اللي بيحصل؟""",1,,egypt
3464,النفاق مدمر طاهر ابو زيد يلغي المشاركة في ألعاب الفرانكفون ويحول ميزانية المشاركة لصندوق دعم مصر المناصب للمصائب,1,,egypt
1214,وانا أيضاً جداً متحمس ومهتم بالمباراة. هاهاها مساكين هؤلاء المدريديون. اللعنة عليك يا بيبي (هو اسمه كذا، صح؟) #Clasico   #barca,1,,msa
1995,"""ريال مدريد - كلوب أميركا، نصف النهائيالساعه ١/٣٠ الظهر هلا مدريييد ولاشيئ اخر :red_heart::red_heart::red_heart:""",0,,msa
4684,"جمال فهمي: تسريبات صباحي ""نفاق صحفي مفضوح"" #مصر #ميدان_التحرير",1,,msa
3454,طلبت نملة من فيل استعمال المايو فرفض لأنه اعتقد أن النملة ستوسع المايو ههههههههههههههههههههه,1,الفيل لم يقدر أنه حجمه الكبير لا يسمح بأن يستطيع حيوان آخر يوسع المايو,msa
1863,عجبا لاطفال اليومين دول يلعبوا طول اليوم  ويجوا ع بليل يقولوا مش لاقين حاجه نعملها,0,,nile
1671,RT @USER #ترامب : لو أصبحت رئيساً #لامريكا سوف ارسل #هيلاري_كلنتون للسجن:person_running_medium_skin_tone::face_with_tears_of_joy: #ثور_قادح :grinning_face_with_sweat:,1,,msa
1783,"الكرامة لا تعوض بالأموال، وهي ليست سلعة تباع وتشترى، والإمارات لديها أموال ولكن ليست لديها ""كرامة"" كالعاهرات تمامًا",1,,egypt
631,"#مصطفى_بكري: ""حبست 11 واحد شتموني الشهر اللي فات"" ههههههههههه كــــــداب ,,, هنا فيه أكتر من 5000 واحد لسة أحرار و بيشتموك يـا بــأف بقري هههههههه إنت عنوان للتعريص إنت دواسة لكل زمان وكل مكان إنت بُـلّـغـة في قدم أي سلطة إنت إنتهازي تسلقي خروف جبان ,, يـالا خليهم 12",1,,msa
1228,ومن أمارات البلاهة الإخوانية: الفرحة بالحديث عن ضعف المعارضة وغياب البديل السياسي مع أن ذلك يستدعي الخوف لأنه يعني انفجارا عشوائيا أخطر,1,,msa
349,"""@USER كل شي قادر افهمو ماعدا كيف بقعد اردوغان يلي مع الثورة والثوار والشعب السوري مع شخص بقوم بحملة لقتل الشعب السوري!؟ #عهر_الاصدقاء""",1,,levant
1322,"""هل تصمتون عن الاٍرهاب الشيعي الموالي الايران هل تصمتون عن الجرايم الي تقوم بهاء الشيعة في العراق واليمن انهاء الفرس تقوم بقتلنا بدعم فارسي""",1,,msa
2200,راعي غنم يقول اختلف مع هيلاري كلنتون ~ يالله مالنا غيرك,1,,levant
4716,احسن ميلف فى مصر #فيفي_عبده_الام_المثالية,1,,egypt
1548,الهجوم المتوقع على كرداسة متى يتوقفون عن قتل الاحرار؟ الانقلاب يمارس ويزرع الارهاب,0,,msa
4719,#ﻛﺎﻓﻴﻪ_ﺗﻮﻳﺘﺮ_ﻓﻲ_ﻣﺼﺮ حضرتك مفيش فكة تاخد بالباقي ريتويتس,1,,egypt
3473,هو البرلمان اشتغل في تنظيم الاسره ماشاء الله,1,البرلمان التافه,nile
4294,"""احمد الشيخ سجل 8 أهدافاللي يضحكك منهم 5 ضربات جزاءيعني حضرتك من غير ضربات الجزاء سجلت 3 وصنعت 2 في 8 مبارياتعايز تروح المنتخب علشان كده؟""",1,,egypt
3938,فى هجاء الغتاتة!,0,,nile
196,قرارات مرسي إهانة للذات الشعبية والقضائية من اجل الذات الإخوانية,0,,msa
2684,أنا وصلت الشغل الساعة 7 و 5 ولقيت مكان واحد فاضى أركن فيه قدام المبنى علطول وبتاع الأمن بصلي وقاللى صباح الخير، الثورة مستمرة,1,,msa
5167,"""بعد 11 عاما على اغتيال جبران تويني التحقيق يحفر في جبل HTTPURL via @USER",0,,msa
5235,""" للأسف في مصر عندنا جميع أنواع السياحة ومش عارفين نستغلها""! #كلام_و_كلام #السادة_المحترمون …",0,,egypt
2844,بيشتغل تلات ساعات ويرجع يقول تعبان مش قادر,1,ده بيدلع,nile
4060,عبارة مسيئة على عربية نقل بالشرقية يعنى نسافر الشرقية ونشوف بنفسنا كاتب إيه ؟؟,0,,nile
727,RT @USER انتي ممحونه انتي .. انتي تنزلي صور ولاد وتقولي هييييح انتي :face_with_tears_of_joy:غوتشي غوتشي غوتشي :beaming_face_with_smiling_eyes:,1,,egypt
2594,والله ما يحتاج صناعة صاروخ اول شي قبل المدرب اللياقة + اللياقة ثم المدرب,0,,gulf
537,#السيسي_رئيسي_2014 بعد التصريحات الاخيرة لحامدين صباحيي تاكدت انه ليس كائن بشري عادى هو كائن فضائى وسيعودلهيئتة الفضائية يوما ما,1,,msa
4625,عندما أتذكر أن هناك فتاة أدين لها بخاتم و مبلغ من المال تلقائياً أشعر بالنعاس.,1,مصاريف الزواج كثيرة و التحفيز غائب تماما,magreb
2116,هو بس سؤال رفيع للإخوان: بالنسبة لرجال الأعمال اللي كان رئيسكم بيكلمهم بكل حنية ودلال مش دول برضه الفلول اللي صدعتونا إنهم بيتآمروا عليه؟,1,,egypt
3077,"""دفع إيهام الاضطراب عن آيات الكتابويليه منع جواز المجازللشيخ العلامة الشنقيطي.#معرض_الكويت_الدولي_للكتاب.السعر… HTTPURL",0,,msa
270, الشروق غدًا محافظ الغربية يفتتح المعرض السنوي للأنشطة التربوية: يفتتح اللواء محمد نعيم، محافظ الغرب  مصر,0,,msa
1523,يا   أنا مسلم شفت إنك غبي الحمدلله اكتشفت نفسك بنفسك يا وهابي ويا داعشي أنت خطر عليي أكثر من إيران وأنصار ألله وحزب الله,1,,msa
2655,الحل الأمثل أننا نموت كل البنات الوسخة علشان ميخلفوش عيال يبقوا ولاد وسخة لا يموتون :D #egypt   #lol,1,,msa
2642,"""انا بتفح فيسبوك كل شهر مثلا عشان اتفاجئ بال ريكويست مسج و المحن""",1,,egypt
2742,"""#عمرو_أديب عامل حلقه جامده عشان يشجع المنتج المصري جايب باتا وسافو والشركات القديمه اللي نسيناها..المهم بقي لو... HTTPURL",1,,egypt
131,"""منو هذا محمد الشحي:neutral_face::neutral_face::neutral_face::neutral_face: جستن بيبر على غفله :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: الحين هايله من صجهم يركضون وراه؟ ي جماعه انا مصدوما HTTPURL",1,,gulf
3903, اللهم فرج همهم اللهم اهلك عدوهماللهم نفس كربهم اللهم انصرهم اللهم امين:tulip: ستبقي حلب شامخة:victory_hand:  الدعاء لك ياحلب ,0,,msa
4680,"""@USER يا اردوغان انت عبارة عن كل نابح . اعلم يا هذا بان العراق العظيم لا يمثله المهزوز العبادي وانما يمثله السيد مقتدى الصدر""",1,,msa
